Reviewer_Nationality,Review_Date,review,Reviewer_Score,clean_review,neg,neu,pos,compound,sentiment
Other,2016-11-14, The breakfast was really simple according to the price of it Not variety And there isn t wifi in the room   The staff Maria Antonia of the recepion was really kind and she helped us a lot ,6.7,breakfast really simple accord price variety wifi room staff maria antonia recepion really kind help lot,0.0,0.677,0.323,0.7698,positive
Other,2016-11-14, Front desk could have been more forthcoming but i did arrive late so perhaps that is a reason  After asking they provided a second room it was then comfortable but with a room heater instead of central heating,6.7,front desk could forthcoming arrive late perhaps reason ask provide second room comfortable room heater instead central heating,0.0,0.837,0.163,0.5106,positive
Other,2016-11-14, Booked in late after plane delayed was held up at reception for nearly 30 mins when I just wanted my Booked Room and sleep Building site next door not helping either but I guess that why its cheap   Spacious rooms,6.3,book late plane delay hold reception nearly mins wanted book room sleep building site next door help either guess cheap spacious room,0.092,0.8,0.108,0.1027,positive
 United Kingdom ,2016-11-14, Not Soundproof rooms heard alot of things i did not want too The remote control didn t work   Comfy bed the design of the hotel location was good ,7.5,soundproof room hear alot thing want remote control work comfy bed design hotel location good,0.0,0.756,0.244,0.4939,positive
 United Kingdom ,2016-11-13, Was given complimentary upgrade to room with a river view but the view was completely blocked by some kind of metal units on the adjoining roof Can t really complain too much though as I originally booked a room without a window Maybe just don t advertise it as a room with a view  ,8.3,give complimentary upgrade room river view view completely block kind metal unit adjoin roof really complain much though originally book room without window maybe advertise room view,0.168,0.647,0.185,0.1512,positive
 United Kingdom ,2016-11-13, The rooms were very tired with damaged furniture and the bed you could feel the springs through what was a very hard mattress   The staff were friendly Getting through reception was fast ,5.0,room tire damaged furniture bed could feel spring hard mattress staff friendly get reception fast,0.221,0.615,0.164,-0.0258,neutral
 United Kingdom ,2016-11-13, The wi fi should be free for the length of the stay not just for 20 minuites  The room was spacious with a fantastic view over the Thames Breakfast was extra but good value ,7.5,wi fi free length stay minuites room spacious fantastic view thames breakfast extra good value,0.0,0.474,0.526,0.9042,positive
 United Kingdom ,2016-11-13, Single beds are very narrow and I mean very   Staff attitude very helpful nice and welcoming Large rooms with plenty of space wardrobe and spotless clean The Retro feeling is charming ,8.3,single bed narrow mean staff attitude helpful nice welcome large room plenty space wardrobe spotless clean retro feeling charm,0.0,0.456,0.544,0.926,positive
 United Kingdom ,2016-11-13, The heating wasn t controllable for our room The staff had putting the fans on override so that it always blew out hot air even when choosing cool We had to go to reception on more than one occasion to complain At 11 45 pm we still couldn t sleep and was very uncomfortable so I made my way back down to reception where I had to wait in a long line of people checking in I was very tired They said they would send someone up to open out window which had been screwed shut 12 15 am we finally had a nock on the door where a member of reception came in with a spanner and a tool to open the window This meant I had to sit awake to let them in It took a good half hour for the room to cool so finally got to sleep gone 1 00 am We were told that the windows were screwed shut because of the outside noise I m sure customers should be allowed to choose whether or not they can handle the noise with the window open On top of this the member of staff didn t leave us with any tools to close the window This meant we had to sleep and all night and morning with the window wide open as there was no way of shutting it with out This caused the rain to come in the window too Came away from the trip with two poor nights sleep and not feeling refreshed at all   Location drinks and food ,4.2,heat controllable room staff put fan override always blow hot air even choose cool go reception one occasion complain pm still sleep uncomfortable make way back reception wait long line people check tire say would send someone open window screw shut finally nock door member reception come spanner tool open window mean sit awake let take good half hour room cool finally get sleep go told window screw shut outside noise sure customer allow choose whether handle noise window open top member staff leave tool close window meant sleep night morning window wide open way shut cause rain come window come away trip two poor night sleep feel refresh location drink food,0.096,0.78,0.124,0.5574,positive
 United Kingdom ,2016-11-12, The room was described as river view and it was construction site and windows so dirty could barely see Beds were not fit to sleep in Dirty toilet wet bath mat ,2.9,room describe river view construction site window dirty could barely see bed fit sleep dirty toilet wet bath mat,0.241,0.666,0.093,-0.552,negative
 United Kingdom ,2016-11-12, Very long wait for checkin and generally looks too 80s Lots of old signage around looking tatty  Big room family room Well priced for last minute stay Replacement iron sent to room very promptly,9.2,long wait checkin generally look lot old signage around look tatty big room family room well price last minute stay replacement iron send room promptly,0.0,0.92,0.08,0.2732,positive
Other,2016-11-12, Very noisy due to construction site and train cleaning servis terrible old rooms need to be reconstructed serving same boring breakfast everyday wifi paid in the room  Good location if you have meetings in Canary wharf free wifi in the lobby,4.6,noisy due construction site train clean servis terrible old room need reconstruct serve bore breakfast everyday wifi pay room good location meeting canary wharf free wifi lobby,0.22,0.511,0.269,0.4215,positive
 United Kingdom ,2016-11-12, Most of the receptionist were brilliant but this guy called John was an absolute disgrace to customer service he made a very simple task a scene and as difficult to resolve for no reason A man called Stonney resolved the issue within 30 seconds which I really appreciated but still appalled by that man called John if he cannot tolerate ppl maybe it s best he doesn t work in that role Apart from that great stay fast room service  ,7.1,receptionist brilliant guy call john absolute disgrace customer service make simple task scene difficult resolve reason man call stonney resolve issue within second really appreciate still appal man call john cannot tolerate ppl maybe best work role apart great stay fast room service,0.093,0.574,0.333,0.9392,positive
 United Kingdom ,2016-11-12, Was a bit noisy because of the construction going on the proximity of the railway station   The location was perfect for our needs all London transport links ,8.8,bit noisy construction go proximity railway station location perfect need london transport link,0.104,0.671,0.226,0.4588,positive
 United Kingdom ,2016-11-11, Looked like it s never received any care since it was built Staff seem stressed out and come over as miserable and uncaring Lots of shouty paper signs pinned around threatening fines for various things  ,3.8,look like never receive care since build staff seem stress come miserable uncaring lot shouty paper sign pin around threaten fine various thing,0.345,0.523,0.132,-0.7862,negative
 United Kingdom ,2016-11-11, I didn t try breakfast or Indian the food in the bar wasn t the best   Hotel is very decent for the location and facilities provided its a 5 minute walk over the bridge from Canary Wharf tube station and has some restaurants nearby and also an Indian restaurant inside Bar Restaurant with Sky sports ,7.9,try breakfast indian food bar best hotel decent location facility provide minute walk bridge canary wharf tube station restaurant nearby also indian restaurant inside bar restaurant sky sport,0.0,0.865,0.135,0.6369,positive
 United Kingdom ,2016-11-11, Hard to find entrance with all the renovation work going on The decor of the rooms was a little tired and not enough coffee tea milk supplied   Lovely big rooms and breath taking views of the docklands Easy distance to the central tube lines and lots of space to relax Great value D,8.8,hard find entrance renovation work go decor room little tire enough coffee tea milk supply lovely big room breath take view docklands easy distance central tube line lot space relax great value,0.032,0.598,0.37,0.9403,positive
 United Kingdom ,2016-11-09, Horrible experience First of all the reception staff did not advise us that we had to pay for swimming and the towels which is totally unfair as we are already paying for the stay Second off all the swimming facilite and sauna was very dirty felt like a cheap swimming lesiure centre We told the staff we will pay extra to stay and they said okay we get to our room and it is locked We was very upset with this Would never go back  The room was up to standard,4.2,horrible experience first reception staff advise pay swim towel totally unfair already pay stay second swimming facilite sauna dirty felt like cheap swimming lesiure centre tell staff pay extra stay say okay get room lock upset would never go back room standard,0.307,0.611,0.081,-0.8805,negative
Other,2016-11-08, The facilities are a bit old It is clean but they let me dirty crockery twice in four days   It was a good experience in general The people was really nice ,7.1,facility bite old clean let dirty crockery twice four day good experience general people really nice,0.123,0.509,0.368,0.6997,positive
 United Kingdom ,2016-11-08, Room temperature fluctuated between cold and too hot Advised by reception that this was a problem that they d had a while but couldn t fix Was given the option of opening a window overlooking the noisy tube line or a fan Difficult to sleep Very tired decor quality of room service was poor and staff service could be much better   Nothing I can think of,4.2,room temperature fluctuate cold hot advise reception problem fix give option open window overlook noisy tube line fan difficult sleep tired decor quality room service poor staff service could much well nothing think,0.298,0.6,0.102,-0.8176,negative
Other,2016-11-08, WiFi is only free 20 mins Then they charge extra A no go fir any hotel No fridge in the room and no ice machine Gym and pool cist extra   If you want to be in Canary Wharf the hotel has a good location Good lobby area with bar and resraurant ,6.3,wifi free min charge extra go fir hotel fridge room ice machine gym pool cist extra want canary wharf hotel good location good lobby area bar resraurant,0.0,0.657,0.343,0.8591,positive
 United Kingdom ,2016-11-08, Room very hot and then when I put air con very loud so you had to choose hot or noise when trying to sleep Also Bed and mattress I can say was the worst I have ever slept in I recently staying in a easyJet hotel and it was basic but I had good night sleep and room clean Plus cost half what I paid here The duty manager very good and understanding but said he would make sure room would be as it should next time I stay   Not much to be honest Location good for what I wanted and parking at hotel ,3.8,room hot put air con loud choose hot noise try sleep also bed mattress say bad ever sleep recently stay easyjet hotel basic good night sleep room clean plus cost half pay duty manager good understanding say would make sure room would next time stay much honest location good want park hotel,0.074,0.65,0.276,0.9081,positive
Other,2016-11-08, Reception very slow and not helpful Everything is wifi pool kids breakfasts at adult prices Continental breakfast not nice Fixtures fittings in bathroom were old and not functioning properly Air temperature in Spa was very cold Sauna lukewarm and door broken Old equipment showers not regulated too hot   Room was spacious Conscierge was very helpful Italian restaurant was nice,6.3,reception slow helpful everything wifi pool kid breakfast adult price continental breakfast nice fixture fitting bathroom old functioning properly air temperature spa cold sauna lukewarm door break old equipment shower regulate hot room spacious conscierge helpful italian restaurant nice,0.0,0.758,0.242,0.8807,positive
 United Kingdom ,2016-11-08, Directions on hotel website for getting to the hotel from DLR Sent two e mails no reply then had to call premium number and then directions were not correct not nice when arriving late at night in cold and rain alone and not knowing where to go  ,7.5,direction hotel website get hotel dlr send two mail reply call premium number direction correct nice arrive late night cold rain alone know go,0.074,0.775,0.151,0.2732,positive
 United Kingdom ,2016-11-07,  Excellent friendly staff nothing too much trouble VERY clean rooms and overall throughout the hotel Good choice of food in the hotel Italian restaurant was excellent and good value too Breakfast was very good too Only complaint was my room 138 was close to the stairs and there was a lot of loud voices on and off through the night Maybe a polite notice for guests coming in late to respect that most other guests may be sleeping ,10.0,excellent friendly staff nothing much trouble clean room overall throughout hotel good choice food hotel italian restaurant excellent good value breakfast good complaint room close stair lot loud voice night maybe polite notice guest come late respect guest may sleep,0.074,0.479,0.447,0.9705,positive
 United Kingdom ,2016-11-07, The room was not clean the bathroom had broken taps the walls were dirty and very dated The car park facility was poor not suitable to park cars and expensive for the time I was there No bottle water in the room   The bed was comfortable and the extra pillows I asked for I recived,5.0,room clean bathroom broken tap wall dirty dated car park facility poor suitable park car expensive time bottle water room bed comfortable extra pillow ask recived,0.252,0.582,0.166,-0.4767,negative
 United Kingdom ,2016-11-07, Room and hotel could have been a little warmer although was exceptionally cold day   Room 140 freshly painted new carpet huge window view quiet Ultra clean everywhere Friendly helpful staff Great breakfast variety Easy transport access,9.6,room hotel could little warm although exceptionally cold day room freshly paint new carpet huge window view quiet ultra clean everywhere friendly helpful staff great breakfast variety easy transport access,0.0,0.54,0.46,0.9559,positive
 United Kingdom ,2016-11-07, Found bugs in the extra blanket we needed to use Heating system was automatic room felt hot all the time at one point the temperature of the room was 30 degrees  Room was a good size with really good views ,7.5,find bug extra blanket need use heat system automatic room felt hot time one point temperature room degree room good size really good view,0.0,0.791,0.209,0.7003,positive
 United Kingdom ,2016-11-07, The room I was in on the 9th floor was extremely hot i e it was 27 degrees Celsius when I got in there at 9pm The air conditioning was noisy so was difficult to leave it on when trying to sleep and all in all I had a poor night s sleep there   Decent Breakfast nice bar and evening food was good,4.6,room floor extremely hot degree celsius get air condition noisy difficult leave try sleep poor night sleep decent breakfast nice bar evening food good,0.264,0.559,0.177,-0.2023,negative
 United Kingdom ,2016-11-06, Quality of breakfast needs big time improvement I had similar Break fast at the Solent Hotel and the Quality was so good compared to Britannia  Location,7.1,quality breakfast need big time improvement similar break fast solent hotel quality good compare britannia location,0.0,0.704,0.296,0.7096,positive
 United Kingdom ,2016-11-05, Staff was not friendly room was pack nothing deferent to shell in the jail no window no ventilation system when I was aske about that they ask me to pay extra 20 for the window it was about 27 digress in the room can not breath they have provid a small fan Which was not make any deferent   Nothing in this hotel,2.9,staff friendly room pack nothing deferent shell jail window ventilation system aske ask pay extra window digress room breath provid small fan make deferent nothing hotel,0.047,0.769,0.184,0.6249,positive
Other,2016-11-05, Service cleanliness not friendly beds too small hole in ceiling of room 159 159 is impossible to find One of the staff took my credit card and lost it  Nothing,3.3,service cleanliness friendly bed small hole ceiling room impossible find one staff take credit card lose nothing,0.12,0.622,0.258,0.4767,positive
 United Kingdom ,2016-11-05, It was clearly built in the 80s and has barely been touched since Quite a surreal experience The only staff I found to be up to grade on customer care were in the restaurant   It is cheap compared to others but you get what you pay for It seemed to be clean ,5.0,clearly build barely touch since quite surreal experience staff find grade customer care restaurant cheap compare others get pay seem clean,0.052,0.63,0.319,0.802,positive
 United Kingdom ,2016-11-05, why was the hotel confirmation different to the one I had made online   Was not happy as booked family room but hotel s confirmation was different from mine which I booked through booking com They gave me a room with 3 single beds I was with my husband and 2 children They wanted to charge me for a room that sleeps 2 adults and 2 children which is what I had booked thank God I had my confirmation They later told me it was booking com s fault I was tired and had travelled with my family for a funeral and this was the last thing we needed ,8.8,hotel confirmation different one make online happy book family room hotel confirmation different mine book book com give room single bed husband child want charge room sleep adults child book thank god confirmation later tell book com fault tire travelled family funeral last thing need,0.097,0.725,0.178,0.5267,positive
 United Kingdom ,2016-11-04, A charge at every turn Upgrade your room for 20 so you have a window Pre printed form appears Is their wifi free in reception 7 per device in the room can I use the Swimming Pool Yes there is a separate charge for that pay at the pool Not as competitive as first seen Also major major building work happening next door at this point in time foundations are being excavated for what looks like another Shard   Room service food was good quality and punctual ,4.6,charge every turn upgrade room window pre print form appear wifi free reception per device room use swim pool yes separate charge pay pool competitive first see also major major build work happen next door point time foundation excavate look like another shard room service food good quality punctual,0.024,0.748,0.228,0.8934,positive
 United Kingdom ,2016-11-04, No window In the room which I guess was reflected in the price Room service was charged at 5 per order We decided against ordering for that reason We were only on the first floor and a short walk from the restaurant   We only stayed one night but the hotel was very nice 79 for a double room with ensuite bathroom with two single beds locked together Comfortable enough The room was clean and so was the bathroom It was a good area for us and close to the gig we were going to We bought some fries to take to our room from the restaurant which were a good size and tasted nice Overall a good experience and the staff were pleasant ,10.0,window room guess reflect price room service charge per order decide order reason first floor short walk restaurant stay one night hotel nice double room ensuite bathroom two single bed lock together comfortable enough room clean bathroom good area close gig go bought fry take room restaurant good size taste nice overall good experience staff pleasant,0.0,0.67,0.33,0.9705,positive
 United Kingdom ,2016-11-03, Needs decorating Bed wobbly and headboard loose Bath had mound round edges When checking in asked about pool times and went to pool to be told it has been closed for days This is the reason we booked the hotel because it had a pool so very disappointed  Spiral staircase to room Staff friendly Location,5.4,need decorate bed wobbly headboard loose bath mound round edge check ask pool time go pool tell closed day reason book hotel pool disappointed spiral staircase room staff friendly location,0.152,0.758,0.09,-0.296,negative
 United Kingdom ,2016-11-03, Staff the rooms the deco the fact it took 2 hrs to get my window opened and further 1 hr to get it shut which ment it was almost 1 am once aka got to bed  Nothing,2.5,staff room deco fact take hr get window open hr get shut ment almost aka get bed nothing,0.0,1.0,0.0,0.0,neutral
 United Kingdom ,2016-11-03, Impolite staff they offered no apologies or reassurance when they told us that the 5 rooms we reserved with booking had not actually been booked It took around an hour until they could rectify the mistakes Two of us had to change our rooms because of noisy fans and cold rooms ,4.6,impolite staff offer apology reassurance tell room reserve book actually book take around hour could rectify mistake two change room noisy fan cold room,0.218,0.586,0.195,-0.1779,negative
 United Kingdom ,2016-11-03, You get what you pay for I guess Oh plus 21 to park 7 Wifi 4 to use the so called filthy gym And you want a window with that room a further 20 Rooms are tired and extremely worn out Very hot and uncomfortable Air con very noisy Staff inattentive and miserable Worth paying extra to stay elsewhere and have all the above included I guess Never again Seems quite standard from Britannia from what I have also heard countrywide Avoid   The only positive is location ,4.2,get pay guess oh plus park wifi use call filthy gym want window room room tire extremely worn hot uncomfortable air con noisy staff inattentive miserable worth pay extra stay elsewhere include guess never seem quite standard britannia also hear countrywide avoid positive location,0.272,0.607,0.121,-0.7548,negative
Other,2016-11-03, The property is in a state of decay it feels like being in a train station with buses of tourists coming in and out its such a pity as it could be a great hotel if they would have invested anything to improve it and refurbish it ,2.9,property state decay feel like train station bus tourist come pity could great hotel would invest anything improve refurbish,0.173,0.493,0.335,0.6808,positive
Other,2016-11-03, the AC was too noisy all the time you could listen strange noises coming like from building construction even through the night  very good location if I consider that the subject of the trip was linked to Canary Wharf area,7.5,ac noisy time could listen strange noise come like building construction even night good location consider subject trip link canary wharf area,0.13,0.669,0.201,0.4404,positive
 United Kingdom ,2016-11-02, The uncomfortable beds Pillows were terrible The air con that was on all night in NOVEMBER which made me wake up with chapped lips because obviously i can t handle the 8 hour arctic chill we had spots of what i assume was blood on the wall and the green light at the door makes the room glow   i liked having a place to sleep,3.3,uncomfortable bed pillow terrible air con night november make wake chap lip obviously handle hour arctic chill spot assume blood wall green light door make room glow like place sleep,0.162,0.767,0.071,-0.4939,negative
Other,2016-11-02, The rooms was warmer than enough I have called the reception 10 minutes later one of staff came to my room then just open locked window but it s still hot because the temperature control fixed on 28 5C   Money value ,6.7,room warmer enough call reception minute later one staff come room open lock window still hot temperature control fix money value,0.0,0.805,0.195,0.5574,positive
 United Kingdom ,2016-11-02, Room was much too hot Bed too hard Overall the place needs up dating   Good location for the O2 Executive room was spacious with balcony overlooking Canary Wharf Good breakfast ,7.0,room much hot bed hard overall place need date good location executive room spacious balcony overlook canary wharf good breakfast,0.058,0.702,0.24,0.6597,positive
 United Kingdom ,2016-11-02, we selected a smoking room but was not given one apperently with the booking we made were not allowed to have one we have to pay 20 pounds if we wanted a smoking room but if we wernt allowed to have a smoking room why give that option if and when you book ,2.9,select smoking room give one apperently book make allow one pay pound want smoking room wernt allow smoking room give option book,0.057,0.735,0.208,0.4019,positive
 United Kingdom ,2016-11-01, Sound proofing from other rooms No one to monitor noise after 1pm No one in the reception area when we left at 6 30 security  Convenient to O2 and station Clean and warm,6.7,sound proof room one monitor noise one reception area leave security convenient station clean warm,0.062,0.573,0.365,0.7003,positive
 United Kingdom ,2016-11-01, mid week is very expensive that s the only thing that would stop me staying more often  front desk staff were fantastic I have stayed at this hotel several times and the front of house staff were always kind and helpful and made my stay especially when I was staying alone ,8.3,mid week expensive thing would stop stay often front desk staff fantastic stay hotel several time front house staff always kind helpful make stay especially stay alone,0.123,0.606,0.27,0.7447,positive
Other,2016-11-01,  Overall a pretty good value for money although wifi should have been included free of charge considering that apartments these days are offering that ,9.6,overall pretty good value money although wifi include free charge consider apartment day offer,0.0,0.459,0.541,0.8957,positive
 United Kingdom ,2016-11-01, The staff could be a bit more cheery   Quirky and Eccentric hotel with a great steam room spa facility and a pretty decent Sauna Reasonable food and drink prices too I would visit again ,6.7,staff could bite cheery quirky eccentric hotel great steam room spa facility pretty decent sauna reasonable food drink price would visit,0.0,0.623,0.377,0.8979,positive
 United Kingdom ,2016-11-01, The hotel looks and feels very tired room corridors were not kept as clean as I would expect in fact bottle tops remained on the carpet for the entire 24 hours we stayed breakfast felt more like a mass canteen environment no table service at all not even for tea which in my experience would be normal for the price of the stay I had expected a much better experience  The location was good for accessing transport etc,5.4,hotel look feel tired room corridor keep clean would expect fact bottle top remain carpet entire hour stay breakfast felt like mass canteen environment table service even tea experience would normal price stay expect much good experience location good access transport etc,0.056,0.696,0.248,0.836,positive
 United Kingdom ,2016-10-31, Expensive if wanted brekki Gym pool should be included in price Price was high for room Aircon didn t work in room Pizza was not fresh from resturant   Bed was very comfy Staff were pleasent ,5.8,expensive want brekki gym pool include price price high room aircon work room pizza fresh resturant bed comfy staff pleasent,0.0,0.833,0.167,0.3818,positive
 United Kingdom ,2016-10-31, Cleaner walked in at 10 telling us we had to leave check out was at 11 she hadn t realised the clocks had gone back  Location was amazing Bar was open late so could run down for drinks when thirsty in night,7.9,cleaner walk tell leave check realise clock go back location amaze bar open late could run drinks thirsty night,0.054,0.714,0.232,0.6124,positive
 United Kingdom ,2016-10-31, Staff on reception friendliness and care Listening to customer requests on booking which were not taken care of   The room facilities and cost for one night in relation to the restaurants ,7.5,staff reception friendliness care listen customer request book take care room facility cost one night relation restaurant,0.0,0.598,0.402,0.8555,positive
Other,2016-10-31, Hotels shouldn t charge for wifi in 2016 My room had a problem with the shower and water was cold Didn t happen to my friend in another room   Great breakfast excellent location for Canary Wharf and beautiful place,8.3,hotel charge wifi room problem shower water cold happen friend another room great breakfast excellent location canary wharf beautiful place,0.083,0.46,0.457,0.9217,positive
 United Kingdom ,2016-10-30, Air con next to useless bed lumpy only one coffee each in the room Facilities tired need updating bathroom similar towel quality poor very tight storage in wardrobe  The location close to where we needed to be,5.0,air con next useless bed lumpy one coffee room facility tire need update bathroom similar towel quality poor tight storage wardrobe location close need,0.211,0.789,0.0,-0.7096,negative
 United Kingdom ,2016-10-30, The door to the bathroom did not close and you had to step over the toilet to get in the shower I did not think that this was acceptable for a hotel in London ,5.8,door bathroom close step toilet get shower think acceptable hotel london,0.0,0.813,0.187,0.3182,positive
Other,2016-10-29, It s a freemium hotel Sure the price is reasonable but you only get 20 minutes of Wifi in your room for free after that you have to shell out money To access the fitness center you have to pay breakfast is not included you can t borrow an adapter for the room and the only way you can buy it is cash I never carry cash with me it s impracticle now that you can pay with almost anything with the card The italian restaurant in the hotel was average or below average The pizza tasted barely better than a frozen Dr Oetker pizza so very poor value for money there   The hotel is fairly well located if you have a meeting in the Carany Warf area and at a decent price within the EU Commission s budgetary rules The rooms are nice as is the bed bathroom etc The staff was relatively nice ,6.7,freemium hotel sure price reasonable get minute wifi room free shell money access fitness center pay breakfast include borrow adapter room way buy cash never carry cash impracticle pay almost anything card italian restaurant hotel average average pizza taste barely well frozen dr oetker pizza poor value money hotel fairly well locate meeting carany warf area decent price within eu commission budgetary rule room nice bed bathroom etc staff relatively nice,0.069,0.704,0.227,0.9084,positive
Other,2016-10-29, I had very noisy neighbours who had a party till 2am on the balcony and started again around 5am I was in room 1146 they were in the next room towards the end of the hallway I did not see a phone to dial reception so I barely slept  ,8.8,noisy neighbour party till balcony start around room next room towards end hallway see phone dial reception barely sleep,0.079,0.794,0.126,0.25,positive
Other,2016-10-28, We paid for an upgrade and had to change rooms due to cleanliness and very poor state of decor and repair New room slightly better but bed very uncomfortable Mattress was very old and discoloured No offer to help move our luggage to new room No apology from anyone re our problems   Nothing ,4.2,pay upgrade change room due cleanliness poor state decor repair new room slightly well bed uncomfortable mattress old discolour offer help move luggage new room apology anyone problem nothing,0.256,0.591,0.153,-0.5899,negative
Other,2016-10-28, I did not like the breakfast menu Can add more Indian items Room was too small   I liked location of the property and th biryani at the Indian restaurant ,7.1,like breakfast menu add indian item room small liked location property th biryani indian restaurant,0.0,0.71,0.29,0.6486,positive
 United Kingdom ,2016-10-26, Place is worn and beds old and uncomfortable Cleanliness of bathrooms is not good Paid 164 for an exec double expecting a decent standard would have been better in travelodge or premier inn Breakfast was cheap produce and badly organised  Nothing,2.9,place worn bed old uncomfortable cleanliness bathroom good pay exec double expect decent standard would better travelodge premier inn breakfast cheap produce badly organise nothing,0.273,0.557,0.17,-0.3612,negative
 United Kingdom ,2016-10-26, The extortionate parking charges were not made clear at the time of booking The parking surcharge was over 33 of the room cost   Room was spacious with a very high ceiling also the room had a sofa and coffee table which was nice and convenient,6.3,extortionate parking charge make clear time book park surcharge room cost room spacious high ceiling also room sofa coffee table nice convenient,0.0,0.787,0.213,0.6597,positive
 United Kingdom ,2016-10-25, The fact I upgraded to a no smoking room with a window only to find the room smelling of cigarettes A mere apology was given to me instead of offering me something worth my while The lift was scary too as it rattled a lot when going up There was constant noise coming from the bathroom even if the lights were switched off No free wifi either   I upgraded from a no window room only to be presented with a no smokinh room stinking of cigarettes The management did change the room but nothing else was offered to please me as a form of apology The decor is old and there was a lot of deep cuts on the walls Overall not bad but I expected a bit more class and the wow factor wasn t really present Would probably think twice before booking again Unless desperate ,6.3,fact upgrade smoking room window find room smell cigarette mere apology give instead offer something worth lift scary rattle lot go constant noise come bathroom even light switch free wifi either upgrade window room present smokinh room stink cigarette management change room nothing else offer please form apology decor old lot deep cut wall overall bad expect bit class wow factor really present would probably think twice book unless desperate,0.183,0.685,0.132,-0.6555,negative
 United Kingdom ,2016-10-24, Bath was dirty and not clean Noise from what we think was a generater which was on all night Staff in the resterant wernt that welcoming   Great views,5.4,bath dirty clean noise think generater night staff resterant wernt welcome great view,0.134,0.415,0.452,0.7845,positive
 United Kingdom ,2016-10-24, Rooms are stale although we got a window we couldn t open it they were dirty from the outside air conditioning didn t do what it supposed to the mirror lighting and extractor fan in the bathroom didn t work Had to pay extra for everything else pool parking and WiFi We stayed over the weekend and found out later that on street parking was free after 6 pm on Fridays The staff should have mentioned this   The location is good ,5.4,room stale although get window open dirty outside air conditioning suppose mirror light extractor fan bathroom work pay extra everything else pool park wifi stay weekend find later street park free pm fridays staff mention location good,0.096,0.714,0.19,0.6369,positive
 United Kingdom ,2016-10-24, The breakfast was unorganised No idead how you got a pot of tea As you had to serve yourself food or drinks would be cold due to queues Should have at least had tea coffee served at your table   East to park room with a view over the river,9.2,breakfast unorganised idead get pot tea serve food drink would cold due queue least tea coffee serve table east park room view river,0.0,1.0,0.0,0.0,neutral
 United Kingdom ,2016-10-23, Room too warm Partner found hair in breakfast twice Spoke to Manager who dealt with it   Couldn t fault room Bed comfy and big although think 2 pushed together ,8.3,room warm partner find hair breakfast twice speak manager dealt fault room bed comfy big although think push together,0.125,0.787,0.088,-0.2023,negative
Other,2016-10-21, There was some mildew at the ceiling approx as large as my palm and the socket where the hairdryer was plugged in did not work either   The room was spacious and well equipped Even we choose a room described as no window we had a nice view to the channel ,7.1,mildew ceiling approx large palm socket hairdryer plug work either room spacious well equip even choose room describe window nice view channel,0.0,0.803,0.197,0.5994,positive
Other,2016-10-21, Building site adjacent to our room was far from ideal we had no indication before travelling that this was the case Windows were filthy inside and out and so view of the harbour from the lounge was spoiled  ,5.4,building site adjacent room far ideal indication travel case windows filthy inside view harbour lounge spoil,0.0,0.815,0.185,0.5267,positive
 United Kingdom ,2016-10-19, Me and my wife had a terrible time the room was like a shoe box I thought we was paying for a deal of the day it was hurandous I m sorry all the swimming facility s was broke not happy  The location,5.0,wife terrible time room like shoe box think pay deal day hurandous sorry swim facility break happy location,0.232,0.52,0.248,0.34,positive
Other,2016-10-19, It is a lovely hotel a bit old furnishing old and the hotel is a bit dark We had a water leak problem and the air conditioning unit didn t work   The staff were friendly and helpful,7.9,lovely hotel bit old furnish old hotel bit dark water leak problem air condition unit work staff friendly helpful,0.176,0.484,0.339,0.6908,positive
 United Kingdom ,2016-10-18, On check in staff were in the process of changing shifts I understand this is necessary but as with my customer service job this should not be whilst there is a queue of people particularly at check in No apology offered until 10mins in   Great setting Fantastic bar and restaurant area and attached to another bar for change of scenery ,7.1,check staff process change shift understand necessary customer service job whilst queue people particularly check apology offer great set fantastic bar restaurant area attach another bar change scenery,0.0,0.731,0.269,0.8473,positive
 United Kingdom ,2016-10-18,  The bedroom was clean welcoming and very comfortable And the view of London and the Thames magnificent to wake up to The staff all paid great attention to us too My favourite place to stay in Canary Wharf,10.0,bedroom clean welcome comfortable view london thames magnificent wake staff pay great attention favourite place stay canary wharf,0.046,0.395,0.559,0.9485,positive
 United Kingdom ,2016-10-17, Cost of upgrade should have been free In room dining menu needs more variety from the restaurants in the hotel  The hotel was great Service was perfect Upgraded on arrival Would recommend to anyone,9.6,cost upgrade free room din menu need variety restaurant hotel hotel great service perfect upgrade arrival would recommend anyone,0.0,0.524,0.476,0.9274,positive
 United Kingdom ,2016-10-17, The hotel was very old fashion it could do with a little revamp the bar had no atmosphere what s so ever me and my partner wanted a drink Saturday night after coming back from a show it was only 10 30pm and there was no music on nor ever just a little sound in the back ground so we took our drinks to the room as it wasn t nice to be in bar the parking was very expensive on top off what your already paying most hotel are free or just a little charge this was 60 for 2 days overall very unhappy with our stay Definitely won t be going to any of them hotel again   It was easy to get to the o2 Arena as it was just one stop away on the underground they had a good gym and pool there but I thought it was unfair to pay to use it ,4.6,hotel old fashion could little revamp bar atmosphere ever partner want drink saturday night come back show music ever little sound back ground take drink room nice bar park expensive top already pay hotel free little charge day overall unhappy stay definitely go hotel easy get arena one stop away underground good gym pool think unfair pay use,0.146,0.617,0.237,0.7783,positive
